Lehigh Valley International Airport	Allentown	United States	ABE	KABE	40.65209961	-75.44080353	393	-5	A	America/New_York
Abilene Regional Airport	Abilene	United States	ABI	KABI	32.41130066	-99.68190002	1791	-6	A	America/Chicago
Albuquerque International Sunport Airport	Albuquerque	United States	ABQ	KABQ	35.04019928	-106.6090012	5355	-7	A	America/Denver
Waco Regional Airport	Waco	United States	ACT	KACT	31.61129951	-97.23049927	516	-6	A	America/Chicago
Alexandria International Airport	Alexandria	United States	AEX	KAEX	31.32740021	-92.54979706	89	-6	A	America/Chicago
Augusta Regional At Bush Field	Bush Field	United States	AGS	KAGS	33.36989975	-81.96450043	144	-5	A	America/New_York
Albany International Airport	Albany	United States	ALB	KALB	42.74829865	-73.80169678	285	-5	A	America/New_York
Waterloo Regional Airport	Waterloo	United States	ALO	KALO	42.55709839	-92.40029907	873	-6	A	America/Chicago
Rick Husband Amarillo International Airport	Amarillo	United States	AMA	KAMA	35.2193985	-101.7060013	3607	-6	A	America/Chicago
Ted Stevens Anchorage International Airport	Anchorage	United States	ANC	PANC	61.17440033	-149.9960022	152	-9	A	America/Anchorage
Watertown International Airport	Watertown	United States	ART	KART	43.9919014	-76.021698	325	-5	A	America/New_York
Hartsfield Jackson Atlanta International Airport	Atlanta	United States	ATL	KATL	33.63669968	-84.42810059	1026	-5	A	America/New_York
Austin Bergstrom International Airport	Austin	United States	AUS	KAUS	30.19449997	-97.66989899	542	-6	A	America/Chicago
Asheville Regional Airport	Asheville	United States	AVL	KAVL	35.43619919	-82.54180145	2165	-5	A	America/New_York
Wilkes Barre Scranton International Airport	Scranton	United States	AVP	KAVP	41.33850098	-75.7233963	962	-5	A	America/New_York
Kalamazoo Battle Creek International Airport	Kalamazoo	United States	AZO	KAZO	42.23490143	-85.55210114	874	-5	A	America/New_York
Bradley International Airport	Windsor Locks	United States	BDL	KBDL	41.93889999	-72.68319702	173	-5	A	America/New_York
Meadows Field	Bakersfield	United States	BFL	KBFL	35.43360138	-119.0569992	510	-8	A	America/Los_Angeles
Greater Binghamton/Edwin A Link field	Binghamton	United States	BGM	KBGM	42.20869827	-75.97979736	1636	-5	A	America/New_York
Bangor International Airport	Bangor	United States	BGR	KBGR	44.80739975	-68.82810211	192	-5	A	America/New_York
Birmingham-Shuttlesworth International Airport	Birmingham	United States	BHM	KBHM	33.56290054	-86.75350189	650	-6	A	America/Chicago
Central Illinois Regional Airport at Bloomington-Normal	Bloomington	United States	BMI	KBMI	40.47710037	-88.91590118	871	-6	A	America/Chicago
Nashville International Airport	Nashville	United States	BNA	KBNA	36.12450027	-86.67819977	599	-6	A	America/Chicago
Boise Air Terminal/Gowen field	Boise	United States	BOI	KBOI	43.56439972	-116.2229996	2871	-7	A	America/Denver
General Edward Lawrence Logan International Airport	Boston	United States	BOS	KBOS	42.36429977	-71.00520325	20	-5	A	America/New_York
Southeast Texas Regional Airport	Beaumont	United States	BPT	KBPT	29.95079994	-94.02069855	15	-6	A	America/Chicago
Brownsville South Padre Island International Airport	Brownsville	United States	BRO	KBRO	25.90679932	-97.42590332	22	-6	A	America/Chicago
Baton Rouge Metropolitan, Ryan Field	Baton Rouge	United States	BTR	KBTR	30.53319931	-91.14959717	70	-6	A	America/Chicago
Burlington International Airport	Burlington	United States	BTV	KBTV	44.47190094	-73.15329742	335	-5	A	America/New_York
Buffalo Niagara International Airport	Buffalo	United States	BUF	KBUF	42.94049835	-78.73220062	728	-5	A	America/New_York
Bob Hope Airport	Burbank	United States	BUR	KBUR	34.20069885	-118.3590012	778	-8	A	America/Los_Angeles
Baltimore/Washington International Thurgood Marshall Airport	Baltimore	United States	BWI	KBWI	39.17539978	-76.66829681	146	-5	A	America/New_York
Columbia Metropolitan Airport	Columbia	United States	CAE	KCAE	33.93880081	-81.11949921	236	-5	A	America/New_York
Akron Canton Regional Airport	Akron	United States	CAK	KCAK	40.91609955	-81.44219971	1228	-5	A	America/New_York
Lovell Field	Chattanooga	United States	CHA	KCHA	35.03530121	-85.20379639	683	-5	A	America/New_York
Charlottesville Albemarle Airport	Charlottesville VA	United States	CHO	KCHO	38.1385994	-78.45290375	639	-5	A	America/New_York
Charleston Air Force Base-International Airport	Charleston	United States	CHS	KCHS	32.89860153	-80.04049683	46	-5	A	America/New_York
The Eastern Iowa Airport	Cedar Rapids	United States	CID	KCID	41.88470078	-91.71080017	869	-6	A	America/Chicago
Cleveland Hopkins International Airport	Cleveland	United States	CLE	KCLE	41.4117012	-81.84980011	791	-5	A	America/New_York
Easterwood Field	College Station	United States	CLL	KCLL	30.58860016	-96.36380005	320	-6	A	America/Chicago
Charlotte Douglas International Airport	Charlotte	United States	CLT	KCLT	35.2140007	-80.94309998	748	-5	A	America/New_York
Port Columbus International Airport	Columbus	United States	CMH	KCMH	39.9980011	-82.89189911	815	-5	A	America/New_York
University of Illinois Willard Airport	Champaign	United States	CMI	KCMI	40.03919983	-88.27809906	755	-6	A	America/Chicago
